gray;Сделать 5 хлопков ладошками
gray;Пожать руки сидящему от тебя справа
gray;Расскажи любой анекдот
gray;Зачитай песню в 2 куплета
gray;Надеть любой элемент одежды человека, сидящего напротив
gray;Дать леща участнику (на рандом)
gray;Сделай любой трюк, который ты умеешь
gray;Тебе не повезло! Ты обязан молчать три минуты.
gray;Икай между каждым произносимым словом до конца круга
gray;Сделай глоток алкашки
gray;
gray;
gray;
gray;
gray;
gray;
blue;Почисти зубы используя любой соус (при возможности)
blue;Сделай тяжку на полные легкие и задержать на 15 секунд
blue;"Засними упоротый видос в LIKE под песню ""Бабка бабка, как дела, ты еще не умерла"""
blue;Тебе повезло! Ты тянешь три карты, минуя очередь
blue;Взять левого участника за сосок и потянуть
blue;"Сьешь полностью ""Екатерину по-лидовски"""
blue;Поставить лицо участника на аватарку, сидящего напротив вашего места
blue;"Прокричи ближе ко сну ""ТАГИЛ"""
blue;Не повезло! Тебе все по очереди ставят шишак
blue;Выпей сырое яйцо!
blue;Лишение конечностей (решается колесом фортуны)
purple;Выпить литр газировки или воды в течении 1 минуты
purple;Выпить 5 глотков алкашки
purple;Шлёпнуть участника слева по заднице
purple;Открой входную дверь, встань раком и вой, как волк в течение 30 секунд.
purple;До следующего раунда говори очень громко, как будто тебя никто не слышит.
purple;
purple;
red;
red;
red;
red;
red;
ulred;При получении этой карточки, тебе задание дает именинник.
ulred;При получении этой карточки, тебе задание дает именинник
ulred;При получении этой карточки, тебе задание дает именинник
